lat,lon,alt,date,device,os,version
33.7759094238,-84.3800048828,297.662078857,2012-10-18 23:36:32,"iPhone4,1",6.0,1.1
33.7765655518,-84.3854064941,320.05947876,2012-10-18 23:57:52,"iPhone4,1",6.0,1.1
33.7846603394,-84.3854293823,302.93258667,2012-10-19 03:54:40,"iPhone4,1",6.0,1.1
33.7797966003,-84.3842163086,316.011535645,2012-10-19 06:13:20,"iPhone4,1",6.0,1.1
33.7770462036,-84.3902816772,305.936218262,2012-10-19 17:10:24,"iPhone4,1",6.0,1.1
33.777141571,-84.3974533081,296.196044922,2012-10-19 18:46:24,"iPhone4,1",6.0,1.1
33.7768707275,-84.385055542,328.576599121,2012-10-19 21:45:36,"iPhone4,1",6.0,1.1
33.7761459351,-84.3788528442,303.053649902,2012-10-20 20:37:20,"iPhone4,1",6.0,1.1
33.7761726379,-84.3731002808,308.778411865,2012-10-20 20:52:16,"iPhone4,1",6.0,1.1
33.7717323303,-84.3482513428,304,2012-10-20 20:58:40,"iPhone4,1",6.0,1.1
33.7737770081,-84.3569335938,304.272338867,2012-10-20 23:00:16,"iPhone4,1",6.0,1.1
33.7762680054,-84.3773422241,304,2012-10-20 23:08:48,"iPhone4,1",6.0,1.1
33.7767753601,-84.3856506348,319.490234375,2012-10-20 23:17:20,"iPhone4,1",6.0,1.1
33.7721290588,-84.3851165771,312.356689453,2012-10-21 00:29:52,"iPhone4,1",6.0,1.1
33.7624740601,-84.3836364746,301.91317749,2012-10-21 00:38:24,"iPhone4,1",6.0,1.1
33.750164032,-84.3761291504,347.470977783,2012-10-21 00:46:56,"iPhone4,1",6.0,1.1
33.7544555664,-84.372543335,309.97543335,2012-10-21 02:31:28,"iPhone4,1",6.0,1.1
33.776058197,-84.3815612793,304,2012-10-21 07:57:52,"iPhone4,1",6.0,1.1
33.7771492004,-84.388671875,326.366882324,2012-10-21 20:07:28,"iPhone4,1",6.0,1.1
33.7745857239,-84.380027771,304,2012-10-22 17:01:52,"iPhone4,1",6.0,1.1
33.7766685486,-84.3853759766,312.687286377,2012-10-22 17:29:36,"iPhone4,1",6.0,1.1
33.7773971558,-84.3974914551,298.281982422,2012-10-22 18:12:16,"iPhone4,1",6.0,1.1
33.7769355774,-84.3919906616,284.104949951,2012-10-23 00:00:00,"iPhone4,1",6.0,1.1
33.7760810852,-84.3850708008,314.131744385,2012-10-23 00:08:32,"iPhone4,1",6.0,1.1
33.7737922668,-84.3595657349,304,2012-10-23 00:17:04,"iPhone4,1",6.0,1.1
33.7706604004,-84.3525695801,313.301727295,2012-10-23 00:27:44,"iPhone4,1",6.0,1.1
33.770778656,-84.3814163208,313.592987061,2012-10-23 03:24:48,"iPhone4,1",6.0,1.1
33.7767753601,-84.385269165,322.520477295,2012-10-23 16:02:08,"iPhone4,1",6.0,1.1
33.7771720886,-84.3974761963,296.962402344,2012-10-23 16:10:40,"iPhone4,1",6.0,1.1
33.7766952515,-84.3920898438,299.561309814,2012-10-24 00:06:24,"iPhone4,1",6.0,1.1
33.774356842,-84.3798751831,323.766906738,2012-10-24 01:18:56,"iPhone4,1",6.0,1.1
33.7769241333,-84.3895339966,318.916381836,2012-10-24 14:02:40,"iPhone4,1",6.0,1.1
33.7772674561,-84.3974380493,297.946563721,2012-10-24 16:00:00,"iPhone4,1",6.0,1.1
33.7761611938,-84.3846435547,316.380096436,2012-10-24 23:57:52,"iPhone4,1",6.0,1.1
33.7753791809,-84.3686141968,304,2012-10-25 02:18:40,"iPhone4,1",6.0,1.1
33.776222229,-84.3830871582,302.973297119,2012-10-25 02:25:04,"iPhone4,1",6.0,1.1
33.7751922607,-84.3670425415,289.997741699,2012-10-25 14:09:04,"iPhone4,1",6.0,1.1
33.7743453979,-84.3789749146,280,2012-10-25 14:21:52,"iPhone4,1",6.0,1.1
33.7763252258,-84.3844909668,316.540313721,2012-10-25 15:30:08,"iPhone4,1",6.0,1.1
33.7777862549,-84.39037323,304,2012-10-25 15:38:40,"iPhone4,1",6.0,1.1
33.7772789001,-84.3974990845,304,2012-10-25 17:36:00,"iPhone4,1",6.0,1.1
33.7768669128,-84.3877944946,312.087646484,2012-10-25 21:45:36,"iPhone4,1",6.0,1.1
33.7752952576,-84.3798828125,292.938964844,2012-10-25 21:56:16,"iPhone4,1",6.0,1.1
33.7823410034,-84.3777770996,304,2012-10-25 22:09:04,"iPhone4,1",6.0,1.1
33.7745704651,-84.3801040649,290.859802246,2012-10-25 23:19:28,"iPhone4,1",6.0,1.1
33.776889801,-84.3852920532,318.573852539,2012-10-26 00:42:40,"iPhone4,1",6.0,1.1
33.7724494934,-84.382850647,315.811889648,2012-10-26 00:49:04,"iPhone4,1",6.0,1.1
